Filename,Is Prose?
tesserae/texts/grc/achilles_tatius.leucippe_et_clitophon.tess,True
tesserae/texts/grc/aelian.de_natura_animalium.tess,True
tesserae/texts/grc/aelian.epistulae_rusticae.tess,True
tesserae/texts/grc/aelian.varia_historia.tess,True
tesserae/texts/grc/aelius_aristides.ars_rhetorica.tess,True
tesserae/texts/grc/aelius_aristides.orationes.tess,True
tesserae/texts/grc/aeschines.against_ctesiphon.tess,True
tesserae/texts/grc/aeschines.against_timarchus.tess,True
tesserae/texts/grc/aeschines.on_the_embassy.tess,True
tesserae/texts/grc/aeschylus.agamemnon.tess,False
tesserae/texts/grc/aeschylus.eumenides.tess,False
tesserae/texts/grc/aeschylus.libation_bearers.tess,False
tesserae/texts/grc/aeschylus.persians.tess,False
tesserae/texts/grc/aeschylus.prometheus_bound.tess,False
tesserae/texts/grc/aeschylus.seven_against_thebes.tess,False
tesserae/texts/grc/aeschylus.suppliant_women.tess,False
tesserae/texts/grc/andocides.against_alcibiades.tess,True
tesserae/texts/grc/andocides.on_his_return.tess,True
tesserae/texts/grc/andocides.on_the_mysteries.tess,True
tesserae/texts/grc/andocides.on_the_peace.tess,True
tesserae/texts/grc/antiphon.speeches.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.1.against_the_stepmother_for_poisoning.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.2.first_tetralogy.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.3.second_tetralogy.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.4.third_tetralogy.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.5.on_the_murder_of_herodes.tess,True
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.6.on_the_choreutes.tess,True
tesserae/texts/grc/apollodorus.epitome.tess,True
tesserae/texts/grc/apollodorus.library.tess,True
tesserae/texts/grc/apollonius.argonautica.tess,False
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.1.tess,False
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.2.tess,False
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.3.tess,False
tesserae/texts/grc/apollonius.argonautica/apollonius.argonautica.part.4.tess,False
tesserae/texts/grc/appian.civil_wars.tess,True
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.1.tess,True
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.2.tess,True
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.3.tess,True
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.4.tess,True
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.5.tess,True
tesserae/texts/grc/aretaeus.curatione_acutorum_morbum.tess,True
tesserae/texts/grc/aretaeus.signorum_acutorum_morbum.tess,True
tesserae/texts/grc/aristophanes.acharnians.tess,False
tesserae/texts/grc/aristophanes.birds.tess,False
tesserae/texts/grc/aristophanes.clouds.tess,False
tesserae/texts/grc/aristophanes.ecclesiazusae.tess,False
tesserae/texts/grc/aristophanes.frogs.tess,False
tesserae/texts/grc/aristophanes.knights.tess,False
tesserae/texts/grc/aristophanes.lysistrata.tess,False
tesserae/texts/grc/aristophanes.peace.tess,False
tesserae/texts/grc/aristophanes.plutus.tess,False
tesserae/texts/grc/aristophanes.thesmophoriazusae.tess,False
tesserae/texts/grc/aristophanes.wasps.tess,False
tesserae/texts/grc/aristotle.constitution.tess,True
tesserae/texts/grc/aristotle.economics.tess,True
tesserae/texts/grc/aristotle.eudemian_ethics.tess,True
tesserae/texts/grc/aristotle.metaphysics.tess,True
tesserae/texts/grc/aristotle.nicomachean_ethics.tess,True
tesserae/texts/grc/aristotle.poetics.tess,True
tesserae/texts/grc/aristotle.politics.tess,True
tesserae/texts/grc/aristotle.rhetoric.tess,True
tesserae/texts/grc/aristotle.virtues_and_vices.tess,True
tesserae/texts/grc/athenaeus.deipnosophists.tess,True
tesserae/texts/grc/bacchylides.dithyrambs.tess,False
tesserae/texts/grc/bacchylides.epinicians.tess,False
tesserae/texts/grc/barnabas.barnabae_epistulae.tess,True
